nome,cognome,username,passwordHash,dataNascita,domicilio,ruolo
Luca,Verdi,proiezionista1,eb176a2cf0e139e2ec05a946a8b5a32b885893c691caec33f8f0a7ae80d7e1e6,1985-03-12,Varese,PROIEZIONISTA
Sara,Colombo,proiezionista2,4573fd093c78b04ebac278e4188c52d8e64c6eb06356f8de004dcd1b15939172,1990-07-25,Como,PROIEZIONISTA
Marco,Ferrari,bigliettaio1,c6354c27b2444e5222d59fbfcb1f3c4e238e0d25778e7f2bcf56659e145d271e,1995-01-30,Varese,BIGLIETTAIO
Giulia,Rizzo,bigliettaio2,980bc29ea1871d3cf7dcdc813251319e5f38a22eb84f6913937e74714aeb2d85,1998-11-05,Gallarate,BIGLIETTAIO
Paolo,Greco,bigliettaio3,6175f0e9a1bb521e10ede1f63d6d78804f346df3ab92ed95d5f932fc1c97e2a4,1992-06-18,Como,BIGLIETTAIO
Elena,Conti,bigliettaio4,2727cc38d0bc313d2c34ddff2753abc34f11aa11f2b2bcfa208c7dbd62fcc130,2000-09-22,Busto Arsizio,BIGLIETTAIO
Davide,Moretti,bigliettaio5,1a3da70ee3d23666e6cc099c92cd4fdbdab55b7c056ef79788a8ac93e9ad98a2,1996-04-14,Saronno,BIGLIETTAIO
Mario,Rossi,mrossi,caae655b2617405e721d27d433331d27adb871354ce6c9be45acc90866df24f4,1999-02-10,Milano,CLIENTE
jonida,brhaimaj,nids,b406656693e4e53208db3359b868b63cdcf725318796f924f14019f8827152c2,,h,CLIENTE
nida,brah,nida,3e221dfc8d4ac61c634b82f94807e33c7649249710c5849591d287b5eed71b37,2004-01-14,gdgd,CLIENTE
